Name                Version      License                                                                                           Author                                                                                                                      
pluggy              1.5.0        MIT License                                                                                       Holger Krekel                                                                                                               
prompt_toolkit      3.0.47       BSD License                                                                                       Jonathan Slenders                                                                                                           
ptyprocess          0.7.0        ISC License (ISCL)                                                                                Thomas Kluyver                                                                                                              
pure_eval           0.2.3        MIT License                                                                                       Alex Hall                                                                                                                   
pyarrow             17.0.0       Apache Software License                                                                           UNKNOWN                                                                                                                     
pytest              8.3.2        MIT License                                                                                       Holger Krekel, Bruno Oliveira, Ronny Pfannschmidt, Floris Bruynooghe, Brianna Laugher, Florian Bruhin, Others (See AUTHORS) 
pytest-cov          5.0.0        MIT License                                                                                       Marc Schlaich                                                                                                               
pytest-xdist        3.6.1        MIT License                                                                                       holger krekel and contributors <pytest-dev@python.org>, holger@merlinux.eu                                                  
python-dateutil     2.9.0.post0  Apache Software License; BSD License                                                              Gustavo Niemeyer                                                                                                            
pytz                2024.1       MIT License                                                                                       Stuart Bishop                                                                                                               
readme_renderer     44.0         Apache Software License                                                                           The Python Packaging Authority <admin@mail.pypi.org>                                                                        
requests            2.32.3       Apache Software License                                                                           Kenneth Reitz                                                                                                               
requests-toolbelt   1.0.0        Apache Software License                                                                           Ian Cordasco, Cory Benfield                                                                                                 
rfc3986             2.0.0        Apache Software License                                                                           Ian Stapleton Cordasco                                                                                                      
rich                13.8.0       MIT License                                                                                       Will McGugan                                                                                                                
ruff                0.6.2        MIT License                                                                                       Charlie Marsh <charlie.r.marsh@gmail.com>                                                                                   
scikit-learn        1.5.1        BSD License                                                                                       UNKNOWN                                                                                                                     
scipy               1.14.1       BSD License                                                                                       UNKNOWN                                                                                                                     
six                 1.16.0       MIT License                                                                                       Benjamin Peterson                                                                                                           
stack-data          0.6.3        MIT License                                                                                       Alex Hall                                                                                                                   
tabulate            0.9.0        MIT License                                                                                       Sergey Astanin <s.astanin@gmail.com>                                                                                        
threadpoolctl       3.5.0        BSD License                                                                                       Thomas Moreau                                                                                                               
tokenize-rt         6.0.0        MIT License                                                                                       Anthony Sottile                                                                                                             
tqdm                4.66.5       MIT License; Mozilla Public License 2.0 (MPL 2.0)                                                 UNKNOWN                                                                                                                     
traitlets           5.14.3       BSD License                                                                                       IPython Development Team <ipython-dev@python.org>                                                                           
twine               5.1.1        Apache Software License                                                                           Donald Stufft and individual contributors <donald@stufft.io>                                                                
typing_extensions   4.12.2       Python Software Foundation License                                                                "Guido van Rossum, Jukka Lehtosalo, Łukasz Langa, Michael Lee" <levkivskyi@gmail.com>                                       
typos               1.24.1       MIT OR Apache-2.0                                                                                 UNKNOWN                                                                                                                     
tzdata              2024.1       Apache Software License                                                                           Python Software Foundation                                                                                                  
unified-io          0.1.0        MIT License                                                                                       Elias Bassani                                                                                                               
urllib3             2.2.2        MIT License                                                                                       Andrey Petrov <andrey.petrov@shazow.net>                                                                                    
xxhash              3.5.0        BSD License                                                                                       Yue Du                                                                                                                      
yarl                1.9.4        Apache Software License                                                                           Andrew Svetlov                                                                                                              
zipp                3.20.1       MIT License                                                                                       "Jason R. Coombs" <jaraco@jaraco.com>                                                                                       
